Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,38,NWE,Christian Barmore,DL,22,2023,0,0,0,10,10,44,0,0,0,0,0,0,0,0,0,0,0,74,,12.5,Alabama,College Stats,BarmCh00
2,39,CHI,Teven Jenkins,OL,23,2023,0,0,1,11,11,31,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.,College Stats,JenkTe00
2,40,ATL,Richie Grant,DB,23,2023,0,0,1,12,12,50,0,0,0,0,0,0,0,0,0,0,0,164,3,3.0,Central Florida,College Stats,GranRi00
2,41,DET,Levi Onwuzurike,DL,23,2023,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,19,,2.0,Washington,College Stats,OnwuLe00
2,42,MIA,Liam Eichenberg,OL,23,2023,0,0,2,18,18,43,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,EichLi00
2,43,LVR,Tre'von Moehrig,S,22,2023,0,0,2,14,14,49,0,0,0,0,0,0,0,0,0,0,0,138,4,2.0,TCU,College Stats,MoehTr00
2,44,DAL,Kelvin Joseph,DB,20,2023,0,0,0,2,2,31,0,0,0,0,0,0,0,0,0,0,0,33,,,Kentucky,College Stats,JoseKe02
2,45,JAX,Walker Little,T,22,2023,0,0,0,9,9,40,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats,LittWa00
2,46,CIN,Jackson Carman,T,21,2023,0,0,0,4,4,22,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats,CarmJa00
2,47,LAC,Asante Samuel Jr.,DB,21,2023,0,0,2,12,12,46,0,0,0,0,0,0,0,0,0,0,0,137,6,,Florida St.,College Stats,SamuAs00
2,48,SFO,Aaron Banks,OL,24,2023,0,0,1,15,15,40,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,BankAa00
2,49,ARI,Rondale Moore,WR,21,2023,0,0,0,12,12,39,0,0,0,0,0,52,249,1,135,1201,3,1,,,Purdue,College Stats,MoorRo02
2,50,NYG,Azeez Ojulari,OLB,21,2023,0,0,1,14,14,35,0,0,0,0,0,0,0,0,0,0,0,47,,16.0,Georgia,College Stats,OjulAz00
2,51,WAS,Samuel Cosmi,OL,22,2023,0,0,0,15,15,40,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats,CosmSa00
