Player,Rnd,College/Univ,offense_snaps,Tm,Rec,TD,PF,Att
Tank Dell,3,Houston,457,HOU,47,7,377.0,592.0
Jalin Hyatt,3,Tennessee,557,NYG,23,0,266.0,518.0
Cedric Tillman,3,Tennessee,609,CLE,21,0,396.0,624.0
Josh Downs,3,North Carolina,788,IND,68,2,396.0,574.0
Michael Wilson,3,Stanford,709,ARI,38,3,330.0,555.0
Tre Tucker,3,Cincinnati,334,LVR,19,2,332.0,557.0
Derius Davis,4,TCU,149,LAC,15,0,346.0,632.0
Charlie Jones,4,Purdue,44,CIN,7,0,366.0,615.0
Tyler Scott,4,Cincinnati,439,CHI,17,0,360.0,513.0
Dontayvion Wicks,5,Virginia,516,GNB,39,4,383.0,581.0
Puka Nacua,5,BYU,1049,LAR,105,6,404.0,583.0
Parker Washington,6,Penn St.,239,JAX,16,2,377.0,620.0
Kayshon Boutte,6,LSU,116,NWE,2,0,236.0,557.0
Trey Palmer,6,Nebraska,780,TAM,39,3,348.0,568.0
A.T. Perry,6,Wake Forest,343,NOR,12,4,402.0,606.0
Xavier Hutchinson,6,Iowa St.,319,HOU,8,0,377.0,592.0
Andrei Iosivas,6,Princeton,266,CIN,15,4,366.0,615.0
Demario Douglas,6,Liberty,481,NWE,49,0,236.0,557.0
Antoine Green,7,North Carolina,116,DET,1,0,461.0,606.0
Colton Dowell,7,UT Martin,51,TEN,1,0,305.0,494.0
Jalen Brooks,7,South Carolina,77,DAL,6,0,509.0,614.0
Ronnie Bell,7,Michigan,183,SFO,6,3,491.0,491.0
